Date,Region,Product,Average
1/01/2001,Metro,ULP,85
1/02/2001,Metro,ULP,92.8
1/03/2001,Metro,ULP,93.3
1/04/2001,Metro,ULP,93.7
1/05/2001,Metro,ULP,98.4
1/06/2001,Metro,ULP,89.4
1/07/2001,Metro,ULP,85.2
1/08/2001,Metro,ULP,84.9
1/09/2001,Metro,ULP,91.4
1/10/2001,Metro,ULP,84.9
1/11/2001,Metro,ULP,80.4
1/12/2001,Metro,ULP,82.4
1/01/2002,Metro,ULP,81.1
1/02/2002,Metro,ULP,82.4
1/03/2002,Metro,ULP,87.9
1/04/2002,Metro,ULP,90.7
1/05/2002,Metro,ULP,90.4
1/06/2002,Metro,ULP,87.2
1/07/2002,Metro,ULP,89.2
1/08/2002,Metro,ULP,89.8
1/09/2002,Metro,ULP,92.1
1/10/2002,Metro,ULP,92.7
1/11/2002,Metro,ULP,89.8
1/12/2002,Metro,ULP,90.4
1/01/2003,Metro,ULP,94.4
1/02/2003,Metro,ULP,99
1/03/2003,Metro,ULP,101.5
1/04/2003,Metro,ULP,91.3
1/05/2003,Metro,ULP,85.7
1/06/2003,Metro,ULP,86.2
1/07/2003,Metro,ULP,89.7
1/08/2003,Metro,ULP,92.7
1/09/2003,Metro,ULP,91.5
1/10/2003,Metro,ULP,88.8
1/11/2003,Metro,ULP,89.8
1/12/2003,Metro,ULP,90.6
1/01/2004,Metro,ULP,93.8
1/02/2004,Metro,ULP,90.6
1/03/2004,Metro,ULP,93.2
1/04/2004,Metro,ULP,93
1/05/2004,Metro,ULP,97.8
1/06/2004,Metro,ULP,98.4
1/07/2004,Metro,ULP,94.6
1/08/2004,Metro,ULP,101
1/09/2004,Metro,ULP,102
1/10/2004,Metro,ULP,104.5
1/11/2004,Metro,ULP,103.7
1/12/2004,Metro,ULP,97.8
1/01/2005,Metro,ULP,94.6
1/02/2005,Metro,ULP,98.7
1/03/2005,Metro,ULP,104.7
1/04/2005,Metro,ULP,107.9
1/05/2005,Metro,ULP,103.2
1/06/2005,Metro,ULP,104.3
1/07/2005,Metro,ULP,110.9
1/08/2005,Metro,ULP,117.1
1/09/2005,Metro,ULP,130.2
1/10/2005,Metro,ULP,124.4
1/11/2005,Metro,ULP,115.6
1/12/2005,Metro,ULP,112.7
1/01/2006,Metro,ULP,117.7
1/02/2006,Metro,ULP,117.9
1/03/2006,Metro,ULP,120.6
1/04/2006,Metro,ULP,128.6
1/05/2006,Metro,ULP,135.6
1/06/2006,Metro,ULP,135.5
1/07/2006,Metro,ULP,135
1/08/2006,Metro,ULP,133.3
1/09/2006,Metro,ULP,122.4
1/10/2006,Metro,ULP,116.3
1/11/2006,Metro,ULP,112.7
1/12/2006,Metro,ULP,115.7
1/01/2007,Metro,ULP,115.2
1/02/2007,Metro,ULP,114.9
1/03/2007,Metro,ULP,122.5
1/04/2007,Metro,ULP,124.8
1/05/2007,Metro,ULP,130.2
1/06/2007,Metro,ULP,129.9
1/07/2007,Metro,ULP,126.7
1/08/2007,Metro,ULP,122.7
1/09/2007,Metro,ULP,123.8
1/10/2007,Metro,ULP,124.3
1/11/2007,Metro,ULP,130.5
1/12/2007,Metro,ULP,137.1
1/01/2008,Metro,ULP,138.6
1/02/2008,Metro,ULP,136.1
1/03/2008,Metro,ULP,139.7
1/04/2008,Metro,ULP,143.1
1/05/2008,Metro,ULP,148.9
1/06/2008,Metro,ULP,157.8
1/07/2008,Metro,ULP,156.9
1/08/2008,Metro,ULP,145.9
1/09/2008,Metro,ULP,147.2
1/10/2008,Metro,ULP,147.2
1/11/2008,Metro,ULP,121.8
1/12/2008,Metro,ULP,101.9
1/01/2009,Metro,ULP,105.5
1/02/2009,Metro,ULP,115.3
1/03/2009,Metro,ULP,113.8
